model,rmse,mae,mape,r-squared
sarimax,5459.276770275171,4391.12893010616,15.945418927204294,0.6136945510956582
xgboost,4845.762058650972,3716.5702912703805,13.886043762812475,0.695641959395203
lstm,5445.508041006081,4195.278757863231,14.404687654502771,0.6017602844532698
prophet,4266.527616431766,3345.124908364291,11.801674978878033,0.7640555688799952
