model,rmse,mae,mape,r-squared
sarimax,5033.837021798939,3939.6962370704564,14.445697694796774,0.6715578320087527
xgboost,4507.513329794648,3485.9986147673235,12.925951996720428,0.7366491959813884
lstm,4371.483070576479,3210.22119140625,11.83534558036667,0.7433593991448086
prophet,3575.490721209628,2699.6741513983065,9.927777224711248,0.8342964091332712
